GM_CODE,GM_NAAM,WATER,AANT_INW,AANT_MAN,AANT_VROUW,P_00_14_JR,P_15_24_JR,P_25_44_JR,P_45_64_JR,P_65_EO_JR,P_ONGEHUWD,P_GEHUWD,P_GESCHEID,P_VERWEDUW,BEV_DICHTH,AANTAL_HH,P_EENP_HH,P_HH_Z_K,P_HH_M_K,GEM_HH_GR,P_WEST_AL,P_N_W_AL,P_MAROKKO,P_ANT_ARU,P_SURINAM,P_TURKIJE,P_OVER_NW,AUTO_TOT,AUTO_HH,AUTO_LAND,BEDR_AUTO,MOTOR_2W,A_BST_B,A_BST_NB,A_LFTJ6J,A_LFTO6J,AF_ZIEK_I,AV5_ZIEK_I,AV10ZIEK_I,AV20ZIEK_I,AF_ZIEK_E,AV5_ZIEK_E,AV10ZIEK_E,AV20ZIEK_E,AF_KDV,AV1_KDV,AV3_KDV,AV5_KDV,AF_BSO,AV1_BSO,AV3_BSO,AV5_BSO,AF_OPRITH,AF_TREINST,AF_OVERST,AF_BIBLIO,AF_IJSBAAN,AF_BRANDW,OPP_TOT,OPP_LAND,OPP_WATER
GM0003,Appingedam,NEE,12050,5835,6215,15,10,22,30,22,41,44,8,8,507,5525,35,33,32,2.2,8,5,0,0,1,2,2,5315,1.0,224,415,555,4455,860,1595,3720,3.9,0.9,1.0,1.0,3.9,0.9,1.0,1.0,1.2,0.4,1.0,3.3,0.9,0.7,2.5,4.8,1.0,1.5,25.3,1.3,22.3,1.3,2458,2377,81
GM0005,Bedum,NEE,10550,5280,5270,17,12,22,31,18,44,46,5,5,237,4370,29,33,38,2.4,4,2,0,0,0,0,2,4815,1.1,108,640,515,3885,935,1465,3350,10.3,0.0,0.3,4.0,10.3,0.0,0.3,2.0,0.9,1.8,4.3,7.6,0.9,2.2,4.4,7.5,0.9,2.2,11.4,1.4,7.9,1.9,4496,4454,41
GM0007,Bellingwedde,NEE,8985,4490,4495,14,9,19,34,23,36,49,7,7,83,4010,29,40,31,2.2,8,2,0,0,0,0,1,5135,1.3,47,830,615,3885,1250,1400,3735,10.0,0.0,0.4,2.4,10.0,0.0,0.4,1.6,4.7,0.0,0.1,0.6,2.1,0.4,0.7,1.5,1.5,8.9,42.2,2.6,44.2,4.1,11008,10836,172
GM0009,Ten Boer,NEE,7500,3755,3745,20,10,23,30,16,44,45,5,6,166,2950,26,33,41,2.5,4,2,0,0,0,0,2,3580,1.2,79,450,475,2830,750,1020,2555,11.3,0.0,0.1,4.8,11.3,0.0,0.1,2.8,1.9,0.5,0.7,1.6,1.0,1.0,1.7,3.9,0.7,8.0,12.7,1.8,9.8,2.1,4573,4531,42
GM0010,Delfzijl,NEE,26025,13030,12990,15,11,22,30,22,40,45,7,7,195,11855,34,34,32,2.2,8,9,0,2,1,2,3,12095,1.0,91,1545,1345,9770,2325,3840,8255,4.2,0.7,0.8,1.1,4.2,0.7,0.8,1.1,2.1,0.8,3.6,5.0,2.1,0.8,3.5,5.7,1.3,3.9,30.1,2.6,27.2,2.2,22750,13313,9437
GM0014,Groningen,NEE,195415,96980,98435,13,24,30,22,12,66,23,7,4,2497,116900,61,21,18,1.7,11,11,1,2,2,1,6,68825,0.6,879,9040,4985,50990,17835,25045,43775,2.6,2.2,4.0,4.0,2.7,1.4,2.0,2.0,0.4,5.4,37.2,74.6,0.5,3.4,23.0,50.0,1.0,2.4,3.1,1.1,4.6,2.9,8375,7827,548
GM0015,Grootegast,NEE,12220,6230,5990,20,12,24,28,16,46,45,5,5,141,4815,26,32,43,2.5,3,1,0,0,0,0,1,6235,1.3,72,1125,830,4305,1930,1265,4975,17.8,0.0,0.0,1.1,17.9,0.0,0.0,0.9,2.0,0.3,1.0,2.1,1.6,0.6,1.4,2.6,0.7,8.0,22.7,3.0,25.2,3.1,8774,8670,104
GM0017,Haren,NEE,18640,8815,9825,17,10,18,30,26,41,44,7,8,410,8405,36,33,31,2.2,8,3,0,0,0,0,2,9105,1.1,200,640,590,7230,1875,2865,6240,3.1,1.1,3.8,4.8,6.7,0.1,1.8,2.1,0.8,1.4,5.7,14.7,0.6,2.3,10.3,18.6,1.2,2.0,7.0,1.8,11.0,2.0,5073,4551,522
GM0018,Hoogezand-Sappemeer,NEE,34520,17040,17480,16,11,24,29,20,44,42,8,6,518,15585,35,32,33,2.2,7,11,1,1,4,3,2,15825,1.0,238,1600,1245,12945,2880,4335,11490,11.4,0.0,0.2,6.0,16.2,0.0,0.0,2.0,0.9,1.1,5.6,9.0,1.3,0.8,3.1,4.7,1.4,1.7,16.5,2.1,16.5,2.7,7299,6662,637
GM0022,Leek,NEE,19610,9720,9890,18,10,23,30,19,43,45,6,6,310,8300,30,33,37,2.4,6,3,0,0,0,0,2,9595,1.2,152,1420,935,7225,2375,2630,6965,16.0,0.0,0.1,3.5,16.1,0.0,0.0,1.9,1.0,0.9,3.2,5.0,1.1,1.2,4.4,6.5,1.1,13.1,17.2,1.7,21.0,2.7,6428,6322,106
GM0024,Loppersum,NEE,10290,5205,5085,17,11,22,32,18,43,45,6,6,93,4390,31,34,36,2.3,4,2,0,0,0,0,1,5035,1.1,45,765,745,3815,1220,1165,3870,14.3,0.0,0.1,1.6,14.3,0.0,0.1,1.6,4.4,0.4,0.5,1.2,2.6,0.4,0.5,1.0,1.3,3.3,21.1,2.5,18.1,2.6,11199,11104,95
GM0025,Marum,NEE,10380,5310,5070,18,12,24,30,16,45,45,5,5,161,4155,25,33,42,2.5,4,2,0,0,0,0,1,5605,1.3,87,890,655,3780,1825,1475,4130,14.5,0.0,0.0,1.4,14.5,0.0,0.0,1.2,1.4,1.0,2.4,4.4,1.4,1.1,2.6,5.4,2.0,15.4,23.4,1.8,27.2,2.8,6489,6446,43
GM0034,Almere,NEE,195210,96925,98285,21,13,29,28,9,52,37,9,3,1510,80655,31,24,45,2.4,10,29,4,2,11,2,9,232020,-99999997.0,1794,34365,6645,118890,113130,184215,47805,4.2,0.7,1.0,2.5,4.2,0.7,1.0,1.6,0.5,4.2,28.1,59.2,0.5,5.2,34.5,72.4,1.5,1.8,4.2,2.4,25.7,2.6,24877,12930,11946
GM0037,Stadskanaal,NEE,32885,16250,16635,16,11,23,29,22,40,45,7,7,280,14655,33,34,33,2.2,5,3,0,0,0,0,2,16175,1.1,138,2300,1580,12645,3530,4195,11980,5.3,0.6,0.9,2.7,5.3,0.6,0.8,1.2,1.5,0.4,2.0,3.4,1.7,0.3,1.9,3.5,1.3,18.6,27.1,1.8,34.7,3.2,11994,11763,231
GM0040,Slochteren,NEE,15620,7935,7685,18,10,23,32,16,44,45,6,5,104,6440,25,35,39,2.4,4,2,0,0,0,0,1,8545,1.3,57,1400,1235,6465,2075,2380,6165,12.9,0.0,0.1,4.8,13.4,0.0,0.1,2.0,1.9,0.5,1.1,3.1,1.9,0.5,1.1,2.6,2.2,7.9,17.3,2.0,14.9,2.3,15887,15059,828
GM0047,Veendam,NEE,27915,13815,14095,17,10,24,30,19,41,45,8,7,367,12370,31,34,35,2.3,5,7,0,0,1,3,2,13945,1.1,183,1695,1445,10960,2985,4010,9935,2.0,1.9,2.0,4.0,13.8,0.0,0.0,2.0,1.3,0.9,4.3,6.3,0.9,0.9,4.2,7.4,2.0,3.8,26.5,2.2,27.6,2.2,7868,7600,268
GM0048,Vlagtwedde,NEE,16130,8025,8105,15,10,21,32,23,39,47,7,8,96,7210,32,36,32,2.2,6,3,0,0,0,0,2,8685,1.2,52,1415,965,6520,2160,2140,6540,16.8,0.0,0.0,1.6,16.8,0.0,0.0,1.6,3.0,0.5,1.2,1.5,2.6,0.6,1.6,2.2,1.3,17.8,23.0,3.1,45.4,2.8,17055,16733,322
GM0050,Zeewolde,NEE,21260,10775,10485,22,13,25,29,10,46,44,7,3,86,8185,24,29,47,2.6,8,5,0,0,1,0,3,12870,1.6,52,1945,995,8345,4520,6590,6280,12.8,0.0,0.0,2.8,13.0,0.0,0.0,1.0,1.2,2.0,8.2,9.4,1.0,2.3,9.4,11.2,1.7,13.7,25.3,2.4,17.3,2.5,26886,24774,2112
GM0051,Skarsterln,NEE,27420,13725,13690,19,11,23,29,18,44,45,5,6,148,11270,28,34,38,2.4,4,2,0,0,0,0,1,13520,1.2,73,2505,1435,9685,3835,3730,9795,9.5,0.1,0.6,2.6,10.2,0.1,0.6,1.8,1.3,1.3,3.7,6.0,1.7,0.8,1.9,3.2,2.0,9.9,10.3,2.5,13.0,2.7,21680,18518,3162
GM0053,Winsum,NEE,13905,6910,6995,19,11,21,31,18,44,45,6,5,138,5890,30,32,37,2.4,5,2,0,0,0,0,1,6310,1.1,62,760,620,4905,1405,1715,4600,15.8,0.0,0.0,2.7,15.8,0.0,0.0,1.7,1.9,0.8,1.8,2.8,1.0,0.9,2.1,3.5,1.0,2.1,16.7,2.2,14.9,2.3,10253,10109,144
GM0055,Boarnsterhim,NEE,19505,9780,9725,19,10,24,30,17,45,43,7,5,129,8465,32,32,36,2.3,4,2,0,0,0,0,1,9725,1.1,64,1580,930,6760,2965,2720,7005,12.0,0.0,0.2,2.5,12.0,0.0,0.2,2.5,1.2,1.2,2.2,3.7,0.9,1.6,2.9,5.2,1.9,3.6,13.1,3.5,15.1,3.4,16858,15126,1732
GM0056,Zuidhorn,NEE,18700,9315,9380,21,11,23,28,17,45,46,5,5,149,7545,28,32,41,2.5,4,2,0,0,0,0,1,8860,1.2,71,1715,800,6540,2315,2385,6470,15.8,0.0,0.1,2.8,15.8,0.0,0.1,1.5,0.9,1.3,4.3,6.3,0.9,1.1,3.4,5.7,0.7,3.1,15.4,1.5,17.0,2.1,12837,12550,288
GM0058,Dongeradeel,NEE,24220,12140,12075,18,12,23,27,19,44,44,6,5,145,10225,32,32,36,2.4,3,2,0,0,0,0,1,11355,1.1,68,1980,1075,7895,3460,2595,8760,5.0,0.6,0.9,1.0,5.0,0.6,0.9,1.0,4.1,0.3,1.0,1.3,4.9,0.1,0.5,0.9,1.2,13.7,27.5,4.6,28.0,2.8,26692,16683,10009
GM0059,Achtkarspelen,NEE,28110,14280,13830,19,12,25,28,17,45,44,5,6,275,11500,28,32,40,2.4,2,1,0,0,0,0,1,13985,1.2,137,2495,1190,9620,4365,3070,10920,13.8,0.0,0.0,1.2,13.8,0.0,0.0,1.2,2.0,0.7,1.4,2.5,1.5,0.8,1.8,3.4,1.2,7.1,26.7,3.0,27.8,2.3,10398,10228,170
GM0060,Ameland,NEE,3525,1750,1775,18,9,24,29,20,44,45,5,6,60,1570,35,33,32,2.2,5,1,0,0,0,0,1,1650,1.1,28,435,260,1490,160,405,1240,28.7,0.0,0.0,0.0,28.7,0.0,0.0,0.0,6.2,0.3,0.4,0.5,6.2,0.3,0.4,0.5,18.9,39.2,44.5,1.5,43.7,1.5,26850,5868,20981
GM0063,het Bildt,NEE,10645,5435,5205,18,11,23,29,17,46,42,6,6,115,4705,35,30,35,2.3,5,4,0,0,0,0,3,5175,1.1,56,1005,635,3665,1510,1115,4060,17.3,0.0,0.0,1.1,17.4,0.0,0.0,0.9,1.8,0.5,0.8,2.4,1.8,0.7,1.2,2.6,1.1,12.5,16.1,3.3,14.6,3.2,11648,9234,2415
