GM_CODE,gm_naam,a_woning,g_woz,p_1gezw,p_mgezw,p_bewndw,p_leegsw,p_koopw,p_huurw,p_wcorpw,p_ov_hw,p_e_o_w,p_bjj2k,p_bjo2k,g_ele,g_ele_ap,g_ele_tw,g_ele_hw,g_ele_2w,g_ele_vw,g_ele_hu,g_ele_ko,g_gas,g_gas_ap,g_gas_tw,g_gas_hw,g_gas_2w,g_gas_vw,g_gas_hu,g_gas_ko,p_stadsv,a_inkont,g_ink_po,g_ink_pi,p_ink_li,p_ink_hi,p_n_act,p_hh_li,p_hh_hi,p_hh_lkk,p_hh_osm,a_soz_wb,a_soz_ao,a_soz_ww,a_soz_ow,a_bedv,a_bed_a,a_bed_bf,a_bed_gi,a_bed_hj,a_bed_kl,a_bed_mn,a_bed_ru,a_pau,a_lftj6j,a_lfto6j,a_bst_b,a_bst_nb,g_pau_hh,g_pau_km,a_bau,a_m2w,g_afs_hp,g_afs_gs,g_afs_kv,g_afs_sc,g_3km_sc,a_opp_ha,a_lan_ha
GM0518,'s-Gravenhage,244882,199,22,78,91,9,42,56,33,23,2,86,14,2600,2250,3650,3900,4650,5300,2250,3050,1350,1300,1450,1650,1850,2500,1200,1550,8,335300,32.4,22.2,40,21,25,49,17,16,16,23040,22710,12210,67940,42260,1555,6850,8635,3295,3555,12465,5900,179045,54485,124560,150450,28595,0.7,2187,17515,9905,0.5,0.5,0.4,0.4,36.3,9811,8187
GM0796,'s-Hertogenbosch,64413,236,62,38,96,4,50,49,37,12,1,85,15,3200,2300,3500,3600,4150,5150,2600,3800,1550,1050,1600,1850,2150,3050,1350,1800,0,104800,32.3,24.1,38,22,22,40,21,10,10,3700,7600,3780,21820,13445,100,1970,2975,1110,1545,3915,1835,68690,25325,43365,52775,15915,1,814,7415,4255,0.8,0.7,0.5,0.6,9.7,9179,8440
GM1680,Aa en Hunze,11214,240,93,7,93,7,69,29,18,11,2,89,11,3600,2050,2700,2950,3500,4150,2700,3950,2400,1150,1700,1950,2100,2900,1950,2550,0,18800,30.7,23,41,20,20,37,22,7,8,330,1260,610,5510,2040,295,270,445,120,185,455,265,13835,4265,9570,10345,3485,1.2,50,1885,1640,2.4,1.5,1.4,1,2,27888,27626
GM0738,Aalburg,4857,269,89,11,94,6,68,32,21,11,0,83,17,3900,2200,3550,3500,4200,4950,2950,4350,2050,950,1750,1850,2200,2750,1750,2250,0,8400,30.4,20.6,41,20,14,31,26,6,6,70,390,210,1910,1355,115,290,455,75,110,220,90,6585,1915,4675,4795,1790,1.4,131,1525,505,1.3,1.3,1.8,0.7,2.5,5317,5041
GM0358,Aalsmeer,12354,292,81,19,95,5,61,38,25,13,1,69,31,3550,2200,3600,3650,4150,4750,2850,4000,1750,900,1500,1800,2200,2950,1500,1850,0,21700,35,25.2,35,25,14,29,30,5,6,180,940,500,5090,3100,140,420,865,210,470,670,325,15535,5980,9550,13620,1910,1.2,762,2070,1395,0.8,0.8,0.8,0.7,4.3,3229,2040
GM0197,Aalten,11451,210,84,16,96,4,69,31,21,9,0,91,9,3350,2050,2950,3050,3650,4100,2550,3650,1850,950,1500,1650,1900,2550,1550,2000,0,19600,26.5,19.7,44,13,16,38,16,6,6,280,1140,610,5150,1900,310,350,445,80,195,295,225,13270,3035,10235,11120,2150,1.2,137,1690,1390,1.2,1.3,1.3,0.8,4.6,9703,9652
GM0059,Achtkarspelen,11711,180,90,10,97,3,62,37,30,7,1,92,8,3000,1700,2550,2700,3200,3550,2350,3450,2050,1100,1800,1950,1900,2400,1800,2200,0,19400,24.7,17.4,47,11,21,43,12,9,9,780,1380,940,4680,2105,180,555,580,125,135,305,220,13985,3070,10920,9620,4365,1.2,137,2495,1190,1.3,1.5,0.2,0.7,3.7,10398,10228
GM0482,Alblasserdam,8111,206,68,32,96,4,56,43,35,9,0,84,16,3050,2100,3300,3450,4100,4850,2350,3600,1400,800,1450,1800,2050,2800,1300,1600,0,13500,30.5,21.2,41,21,17,36,20,6,6,270,640,280,3610,1500,10,295,395,170,190,315,120,8690,3220,5470,7305,1390,1.1,991,1450,530,0.8,0.6,0.5,0.5,7,1006,877
GM0613,Albrandswaard,10059,266,80,20,97,3,66,34,26,8,0,67,33,3400,2250,3400,3600,4050,4950,2550,3850,1550,900,1450,1750,2050,2750,1300,1700,0,17000,38.9,27,30,33,14,26,34,5,5,240,850,440,3710,1745,30,230,325,245,250,475,190,11960,5570,6390,10290,1670,1.2,548,1140,965,0.8,0.9,0.7,0.7,7.5,2376,2181
GM0361,Alkmaar,44049,193,63,37,96,4,56,44,33,11,0,90,10,2800,2050,3100,3250,3650,4200,2200,3250,1450,1050,1550,1850,2050,2700,1300,1650,0,69500,30.2,22.6,37,19,22,42,17,9,9,2060,6070,2080,15100,7165,20,1170,1780,605,705,1775,1110,41885,14845,27040,33845,8035,0.9,1431,5155,3560,0.7,0.7,0.6,0.5,15.4,3120,2928
GM0141,Almelo,32117,164,72,28,95,5,54,45,37,8,1,89,11,3200,2050,3300,3400,3800,4500,2500,3800,1900,1250,1800,2050,2300,3100,1550,2200,0,51400,26.8,19.4,46,14,26,46,14,13,12,2890,4690,1980,12310,4635,110,825,1445,290,530,920,510,32625,9505,23125,26140,6485,1,485,5010,2445,0.9,0.8,0.8,0.7,10.5,6941,6730
GM0034,Almere,77609,191,75,25,97,3,62,37,28,10,0,72,28,3450,2300,3650,3800,4600,5100,2700,3900,550,350,550,650,1000,1300,500,600,59,130700,32.3,22,34,22,21,37,21,11,10,5690,9430,5810,16820,13085,80,1830,3060,1700,995,3725,1695,232020,184215,47805,118890,113130,x,x,34365,6645,0.8,0.7,0.5,0.5,18,24877,12930
GM0484,Alphen aan den Rijn,31280,226,62,38,97,3,61,39,28,11,0,90,10,3200,2300,3600,3700,4300,4950,2500,3600,1450,1100,1500,1800,2150,2850,1350,1600,0,51900,33.4,24.2,34,24,17,34,24,6,6,1000,3040,1630,10770,5470,125,795,1280,510,580,1525,655,39195,18575,20620,30875,8320,1.2,713,4585,2735,0.7,0.9,0.6,0.6,16.1,5765,5496
GM1723,Alphen-Chaam,3984,303,90,10,93,7,74,22,11,11,3,86,14,4100,2000,3500,3450,3850,4900,3250,4350,2350,1050,1650,1800,2150,3000,1900,2500,0,7200,30.3,23.2,40,20,15,30,29,5,6,50,260,180,1870,1060,225,160,210,45,115,205,95,5560,1515,4045,4545,1015,1.4,60,910,585,1.6,1.5,1.5,1,1.4,9351,9304
GM0060,Ameland,1568,210,85,15,88,12,69,28,17,12,2,91,9,3650,1950,2450,3050,3100,3800,2700,3750,2250,1000,1500,1700,1900,2600,1850,2450,0,2500,26.1,19.1,43,12,11,43,15,7,7,10,110,120,690,510,35,60,215,30,45,75,55,1650,405,1240,1490,160,1.1,28,435,260,1,0.5,6.2,0.8,1.4,26850,5868
GM0307,Amersfoort,63856,235,64,36,96,4,57,43,32,11,1,82,18,3050,2150,3300,3450,4250,5350,2350,3550,1450,1000,1400,1750,2350,3200,1250,1600,5,103400,34.4,24.2,34,25,19,36,24,8,8,2980,6970,3510,19190,11955,80,1215,2490,1195,1285,4060,1630,87885,47485,40400,61830,26060,1.4,1399,12845,5630,0.7,0.7,0.5,0.5,17.1,6386,6282
GM0362,Amstelveen,41616,290,48,52,94,6,45,51,27,24,3,91,9,3100,2250,3650,3850,4750,5300,2550,3600,1550,1050,1750,2100,2800,3800,1400,1850,0,57900,40,28.1,32,30,19,35,28,7,7,890,2980,1520,15910,6750,85,510,1395,625,985,2340,815,34755,13615,21135,30340,4415,0.9,839,2040,2125,0.7,0.7,0.6,0.7,12.3,4408,4143
